skaluno,skservico,skcalendario,quantidade,valorpago,skaluno,alunoid,alunonome,alunoemail,alunocelular,datanascimento,bairro,municipio,estado,logradouro,skservico,servicoid,servicotipo,servicovalor,skcalendario,calendariodata,calendariodia,calendariomes,calendarioano,calendariotrimestre,calendarionomemes,calendarionomediasemana,calendariodiaano,calendariotipodia
a98a8682-7543-4299-86ac-5f0ee183f584,dd9a00ee-fedc-4878-8a7d-acdaa1e288ad,16ca984a-becd-4ef9-bcd1-ed5c12fd59b9,1,1500,a98a8682-7543-4299-86ac-5f0ee183f584,155,Larissa Moreira,larissa.m@example.com,21981231113,2006-07-01,Flamengo,Rio de Janeiro,RJ,Rua Marquês de Abrantes,dd9a00ee-fedc-4878-8a7d-acdaa1e288ad,1,Pacote Inicial Categoria B,1500,16ca984a-becd-4ef9-bcd1-ed5c12fd59b9,2025-09-02,2,9,2025,3,September,Tuesday  ,245,Dia de Semana
35b9ddfc-afe4-4ad6-b957-249d1d74506a,dd9a00ee-fedc-4878-8a7d-acdaa1e288ad,162e0105-ba6f-41eb-b182-e419a6f0d99c,1,1500,35b9ddfc-afe4-4ad6-b957-249d1d74506a,132,Eduardo Wager,e.wager@email.com,21982343344,2005-08-31,Flamengo,Rio de Janeiro,RJ,Rua Cruz Lima,dd9a00ee-fedc-4878-8a7d-acdaa1e288ad,1,Pacote Inicial Categoria B,1500,162e0105-ba6f-41eb-b182-e419a6f0d99c,2025-08-25,25,8,2025,3,August   ,Monday   ,237,Dia de Semana
9084f8e2-081c-4244-9b11-4e8862fd55b5,dd9a00ee-fedc-4878-8a7d-acdaa1e288ad,b0102990-b4f4-45e7-be79-482ac33e295a,1,1500,9084f8e2-081c-4244-9b11-4e8862fd55b5,151,José Guedes Gasparelo,hallowring@fromsoftware.com,21976541299,2003-11-05,Laranjeiras,Rio de Janeiro,RJ,Rua das Laranjeiras,dd9a00ee-fedc-4878-8a7d-acdaa1e288ad,1,Pacote Inicial Categoria B,1500,b0102990-b4f4-45e7-be79-482ac33e295a,2025-08-27,27,8,2025,3,August   ,Wednesday,239,Dia de Semana
0e25bee1-5e2d-40bd-96f0-e87aeae321ee,dd9a00ee-fedc-4878-8a7d-acdaa1e288ad,55ff3ff6-a28b-455e-a999-aa7cfa262f79,1,1500,0e25bee1-5e2d-40bd-96f0-e87aeae321ee,103,Isabella Ferreira,isabella.f@example.com,21987654321,2006-01-10,Copacabana,Rio de Janeiro,RJ,Rua Barata Ribeiro,dd9a00ee-fedc-4878-8a7d-acdaa1e288ad,1,Pacote Inicial Categoria B,1500,55ff3ff6-a28b-455e-a999-aa7cfa262f79,2025-08-29,29,8,2025,3,August   ,Friday   ,241,Dia de Semana
b78dd85b-8625-483b-92e8-6c527f07ca17,dd9a00ee-fedc-4878-8a7d-acdaa1e288ad,6885ee44-aede-4478-ab23-5a89f64030d4,1,1500,b78dd85b-8625-483b-92e8-6c527f07ca17,153,Gabriela Lima,gabriela.lima@example.com,21981231111,2005-10-10,Tijuca,Rio de Janeiro,RJ,Rua Conde de Bonfim,dd9a00ee-fedc-4878-8a7d-acdaa1e288ad,1,Pacote Inicial Categoria B,1500,6885ee44-aede-4478-ab23-5a89f64030d4,2025-09-01,1,9,2025,3,September,Monday   ,244,Dia de Semana
2f3cb6a6-efd4-4d81-88be-94b4a3da39f5,dd9a00ee-fedc-4878-8a7d-acdaa1e288ad,eb0c206c-18c1-4592-9656-f6d8f71b7268,1,1500,2f3cb6a6-efd4-4d81-88be-94b4a3da39f5,101,Sofia Martins,sofia.martins@example.com,21988776655,2005-04-15,Laranjeiras,Rio de Janeiro,RJ,Rua das Laranjeiras,dd9a00ee-fedc-4878-8a7d-acdaa1e288ad,1,Pacote Inicial Categoria B,1500,eb0c206c-18c1-4592-9656-f6d8f71b7268,2025-08-20,20,8,2025,3,August   ,Wednesday,232,Dia de Semana
07f4c73a-0a3e-491d-aa88-b316cd5eef06,dd9a00ee-fedc-4878-8a7d-acdaa1e288ad,6e4555d9-2590-44bb-9444-a7c86a848cc8,1,1500,07f4c73a-0a3e-491d-aa88-b316cd5eef06,158,Bruno Henrique,bruno.h@example.com,21981231116,2005-01-25,Flamengo,Rio de Janeiro,RJ,Praia do Flamengo,dd9a00ee-fedc-4878-8a7d-acdaa1e288ad,1,Pacote Inicial Categoria B,1500,6e4555d9-2590-44bb-9444-a7c86a848cc8,2025-09-03,3,9,2025,3,September,Wednesday,246,Dia de Semana
98ea0730-0ab3-4ff4-967d-381786f12108,dd9a00ee-fedc-4878-8a7d-acdaa1e288ad,9f8883b5-9d4f-4c30-963b-b360fe1f1b97,1,1500,98ea0730-0ab3-4ff4-967d-381786f12108,160,Thiago Almeida,thiago.almeida@example.com,21981231118,2003-08-03,Flamengo,Rio de Janeiro,RJ,Avenida Osvaldo Cruz,dd9a00ee-fedc-4878-8a7d-acdaa1e288ad,1,Pacote Inicial Categoria B,1500,9f8883b5-9d4f-4c30-963b-b360fe1f1b97,2025-09-04,4,9,2025,3,September,Thursday ,247,Dia de Semana
11a59511-d8b4-4c86-8de2-6b3f0a6eac11,dd9a00ee-fedc-4878-8a7d-acdaa1e288ad,928742fd-7baa-48d6-8791-7fc5df669198,1,1500,11a59511-d8b4-4c86-8de2-6b3f0a6eac11,161,Vitória Dias,vitoria.dias@example.com,21981231119,2006-02-14,Laranjeiras,Rio de Janeiro,RJ,Rua General Glicério,dd9a00ee-fedc-4878-8a7d-acdaa1e288ad,1,Pacote Inicial Categoria B,1500,928742fd-7baa-48d6-8791-7fc5df669198,2025-09-05,5,9,2025,3,September,Friday   ,248,Dia de Semana
43382b3c-c67e-468f-8560-01832286e2f2,dd9a00ee-fedc-4878-8a7d-acdaa1e288ad,14f2b69f-6ae1-4702-8d66-f4b05cf07f2e,1,1500,43382b3c-c67e-468f-8560-01832286e2f2,164,Leonardo Souza,leo.souza@example.com,21981231122,2003-12-19,Laranjeiras,Rio de Janeiro,RJ,Rua Pinheiro Machado,dd9a00ee-fedc-4878-8a7d-acdaa1e288ad,1,Pacote Inicial Categoria B,1500,14f2b69f-6ae1-4702-8d66-f4b05cf07f2e,2025-09-06,6,9,2025,3,September,Saturday ,249,Fim de Semana
